a 1 11 10 1
a 1 5 7 1
a 3 1 2 1
a 3 15 6 1
a 1 14 5 4
a 3 11 6 6
a 3 14 5 6
a 1 2 1 8
a 1 11 8 11
a 3 2 1 13
a 3 5 2 13
a 3 11 7 16
a 3 14 8 16
a 1 8 4 17
a 3 5 2 19
a 3 8 4 19
a 1 8 3 21
a 3 11 7 21
a 6 11 6 21
a 3 14 8 23
a 6 14 5 23
a 1 11 13 29
a 7 15 5 30
a 3 5 2 36
a 6 5 7 36
a 3 11 1 39
a 3 14 3 39
a 1 11 11 41
a 3 5 7 44
a 6 5 13 44
a 3 11 1 45
a 6 11 8 45
a 3 8 6 47
a 6 8 4 47
a 7 15 3 51
a 1 11 12 53
a 3 13 11 57
a 3 2 10 57
a 6 13 4 57
a 6 2 2 57
a 1 11 9 58
a 3 11 9 60
a 6 11 1 60
a 3 8 12 62
a 6 8 6 62
a 8 13 4 64
a 8 3 2 65
a 7 15 8 67
a 8 13 11 67
a 8 3 10 68
a 8 8 6 69
a 8 13 1 70
a 8 3 7 70
a 8 13 9 72
a 8 3 13 72
a 8 8 12 72
