5,1,1
5,8,1
5,1,2
5,7,2
5,2,3
5,6,3
5,3,4
5,6,4
5,3,5
5,6,5
5,1,6
5,3,6
5,6,6
5,8,6
5,3,7
5,6,7
6,1,7
6,8,7
5,3,8
5,6,8
7,1,8
7,8,8
5,3,9
5,6,9
8,1,9
8,8,9
5,3,10
5,6,10
8,1,10
8,7,10
5,3,11
5,6,11
8,2,11
8,6,11
5,3,12
5,6,12
8,3,12
8,6,12
5,1,13
5,3,13
5,6,13
5,8,13
8,3,13
8,6,13
4,1,14
4,8,14
5,3,14
5,6,14
8,3,14
8,6,14
4,1,15
4,8,15
5,3,15
5,6,15
8,3,15
8,6,15
4,1,16
4,8,16
5,3,16
5,6,16
8,3,16
8,6,16
4,1,17
4,8,17
5,3,17
5,6,17
8,3,17
8,6,17
3,1,18
3,8,18
5,3,18
5,6,18
8,3,18
8,6,18
2,1,19
2,8,19
5,3,19
5,6,19
8,3,19
8,6,19
1,1,20
1,8,20
5,3,20
5,6,20
8,3,20
8,6,20
2,1,21
2,8,21
5,3,21
5,6,21
8,3,21
8,6,21
2,2,22
2,7,22
5,3,22
5,6,22
8,3,22
8,6,22
2,3,23
2,6,23
5,3,23
5,6,23
8,3,23
8,6,23
2,3,24
2,6,24
5,3,24
5,6,24
8,3,24
8,6,24
2,3,25
2,6,25
5,3,25
5,6,25
8,3,25
8,6,25
2,3,26
2,6,26
5,3,26
5,6,26
8,3,26
8,6,26
2,3,27
2,6,27
5,3,27
5,6,27
8,3,27
8,6,27
2,3,28
2,6,28
5,3,28
5,6,28
8,3,28
8,5,28
1,3,29
1,6,29
4,6,29
5,3,29
8,3,29
8,6,29
1,2,30
1,6,30
5,3,30
5,6,30
8,3,30
9,6,30
1,3,31
1,6,31
4,3,31
5,6,31
8,3,31
1,3,32
1,6,32
5,3,32
5,6,32
8,3,32
4,3,33
4,6,33
7,3,33
3,3,34
3,6,34
7,4,34
2,3,35
2,6,35
7,5,35
1,3,36
1,6,36
7,6,36
1,3,37
1,6,37
8,6,37
1,3,38
1,6,38
9,6,38
