2  1  5  1  1  5  8  2
2  2  5  1  1  5  7  2
2  3  5  2  1  5  6  2
2  4  5  3  1  5  6  2
2  5  5  3  1  5  6  2
4  6  5  1  3  5  3  1  5  6  2  5  8  4
4  7  5  3  1  5  6  2  6  1  3  6  8  4
4  8  5  3  1  5  6  2  7  1  3  7  8  4
4  9  5  3  1  5  6  2  8  1  3  8  8  4
4  10  5  3  1  5  6  2  8  1  3  8  7  4
4  11  5  3  1  5  6  2  8  2  3  8  6  4
4  12  5  3  1  5  6  2  8  3  3  8  6  4
6  13  5  1  5  5  3  1  5  6  2  5  8  6  8  3  3  8  6  4
6  14  4  1  5  4  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  15  4  1  5  4  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  16  4  1  5  4  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  17  4  1  5  4  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  18  3  1  5  3  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  19  2  1  5  2  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  20  1  1  5  1  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  21  2  1  5  2  8  6  5  3  1  5  6  2  8  3  3  8  6  4
6  22  2  2  5  2  7  6  5  3  1  5  6  2  8  3  3  8  6  4
6  23  2  3  5  2  6  6  5  3  1  5  6  2  8  3  3  8  6  4
6  24  2  3  5  2  6  6  5  3  1  5  6  2  8  3  3  8  6  4
6  25  2  3  5  2  6  6  5  3  1  5  6  2  8  3  3  8  6  4
6  26  2  3  5  2  6  6  5  3  1  5  6  2  8  3  3  8  6  4
6  27  2  3  5  2  6  6  5  3  1  5  6  2  8  3  3  8  6  4
6  28  2  3  5  2  6  6  5  3  1  5  6  2  8  3  3  8  5  4
6  29  1  3  5  1  6  6  4  6  2  5  3  1  8  3  3  8  6  4
6  30  1  2  5  1  6  6  5  3  1  5  6  2  8  3  3  9  6  4
5  31  1  3  5  1  6  6  4  3  1  5  6  2  8  3  3
5  32  1  3  5  1  6  6  5  3  1  5  6  2  8  3  3
3  33  4  3  1  4  6  2  7  3  3
3  34  3  3  1  3  6  2  7  4  3
3  35  2  3  1  2  6  2  7  5  3
3  36  1  3  1  1  6  2  7  6  3
3  37  1  3  1  1  6  2  8  6  3
